"id","severity","domain","component","title","file","github","location","suggested_title"
"AUTH-001","High","AUTHENTICATION","auth-layer","Keycloak OIDC client initialised with `{}` — PKCE (S256) not configured for a public browser client","yes","#41","src/app/services/keycloak.service.ts:86-87","[RA AUTH-001] Keycloak OIDC client initialised with {} — PKCE (S256) not configured for a public brow..."
"AUTHZ-001","High","AUTHORIZATION","auth-layer","Authorization bypass via URL query parameter injection on admin-only routes","yes","#1","src/app/guards/auth.guard.ts:74-93","[RA AUTHZ-001] Authorization bypass via URL query parameter injection on admin-only routes"
"CONFIG-002","High","CONFIGURATION","cloudfront-cdn","Missing Content-Security-Policy Header on All CloudFront Cache Behaviors","yes","#37","template.yaml:123-125","[RA CONFIG-002] Missing Content-Security-Policy Header on All CloudFront Cache Behaviors"
"CONFIG-003","High","CONFIGURATION","cloudfront-cdn","Missing Strict-Transport-Security (HSTS) Header on All CloudFront Cache Behaviors","yes","#29","template.yaml:123-125","[RA CONFIG-003] Missing Strict-Transport-Security (HSTS) Header on All CloudFront Cache Behaviors"
"CONFIG-004","High","CONFIGURATION","cloudfront-cdn","Missing X-Frame-Options, X-Content-Type-Options, Referrer-Policy, and Permissions-Policy Headers","yes","#33","template.yaml:123-153","[RA CONFIG-004] Missing X-Frame-Options, X-Content-Type-Options, Referrer-Policy, and Permissions-Polic..."
"LOG-001","High","SECURITY_LOGGING","shared-infrastructure","Full configuration object written to browser console","yes","#6","src/app/services/config.service.ts:42-44","[RA LOG-001] Full configuration object written to browser console"
"LOG-002","High","SECURITY_LOGGING","auth-layer","Keycloak authentication lifecycle events logged at debug level only","yes","#15","src/app/services/keycloak.service.ts:53-71","[RA LOG-002] Keycloak authentication lifecycle events logged at debug level only"
"LOG-003","High","SECURITY_LOGGING","auth-layer","Authorization failures in AuthGuard are never logged","yes","#10","src/app/guards/auth.guard.ts:53-55","[RA LOG-003] Authorization failures in AuthGuard are never logged"
"SECRET-001","High","SECRETS","cloudfront-cdn","Production AWS Account ID Embedded in ACM Certificate ARN in Prod CI/CD Workflow","yes","#46",".github/workflows/lza-deploy-admin-prod.yaml:115-115","[RA SECRET-001] Production AWS Account ID Embedded in ACM Certificate ARN in Prod CI/CD Workflow"
"TEST-001","High","TESTING","auth-layer","HTTP token interceptor has zero test coverage","yes","#12","src/app/shared/utils/token-interceptor.ts:1-1","[RA TEST-001] HTTP token interceptor has zero test coverage"
"AUTH-002","Medium","AUTHENTICATION","auth-layer","Client-side `JwtUtil.decodeToken()` performs no signature verification; drives role/IDP decisions","yes","#50","src/app/shared/utils/jwt-utils.ts:38-52","[RA AUTH-002] Client-side JwtUtil.decodeToken() performs no signature verification; drives role/IDP d..."
